ilan_no,site,yil,marka,model,km,yakit,vites,fiyat,kaynak,veri_tipi
d4c374e9,manuel_ekleme,2018,Ford,Focus,85000,Benzin,Manuel,650000,sentetik,ai_uretilen
473b2a62,manuel_ekleme,2019,Ford,Focus,60000,Benzin,Manuel,720000,sentetik,ai_uretilen
6842ba80,manuel_ekleme,2020,Ford,Focus,40000,Benzin,Otomatik,810000,sentetik,ai_uretilen
211edc47,manuel_ekleme,2018,Toyota,Corolla,90000,Benzin,Otomatik,750000,sentetik,ai_uretilen
95bb6b57,manuel_ekleme,2019,Toyota,Corolla,70000,Hibrit,Otomatik,920000,sentetik,ai_uretilen
b48c2dbe,manuel_ekleme,2020,Toyota,Corolla,45000,Hibrit,Otomatik,1050000,sentetik,ai_uretilen
c1a02391,manuel_ekleme,2018,Volkswagen,Polo,80000,Benzin,Manuel,580000,sentetik,ai_uretilen
df377d2e,manuel_ekleme,2019,Volkswagen,Polo,55000,Benzin,Manuel,650000,sentetik,ai_uretilen
63b6cec8,manuel_ekleme,2020,Volkswagen,Polo,30000,Benzin,Otomatik,740000,sentetik,ai_uretilen
63ce3eb2,manuel_ekleme,2018,Renault,Clio,95000,Benzin,Manuel,480000,sentetik,ai_uretilen
f4ae6b60,manuel_ekleme,2019,Renault,Clio,72000,Benzin,Manuel,550000,sentetik,ai_uretilen
4b9df793,manuel_ekleme,2020,Renault,Clio,50000,Benzin,Otomatik,630000,sentetik,ai_uretilen
86179270,manuel_ekleme,2018,Hyundai,i20,88000,Benzin,Manuel,500000,sentetik,ai_uretilen
cdc36a40,manuel_ekleme,2019,Hyundai,i20,65000,Benzin,Manuel,570000,sentetik,ai_uretilen
25121653,manuel_ekleme,2020,Hyundai,i20,42000,Benzin,Otomatik,660000,sentetik,ai_uretilen
00d83f7c,manuel_ekleme,2018,BMW,3 Serisi,75000,Benzin,Otomatik,1200000,sentetik,ai_uretilen
bbcd7b10,manuel_ekleme,2019,BMW,3 Serisi,50000,Benzin,Otomatik,1450000,sentetik,ai_uretilen
731895ac,manuel_ekleme,2020,BMW,3 Serisi,30000,Dizel,Otomatik,1700000,sentetik,ai_uretilen
417eb6f7,manuel_ekleme,2018,Mercedes,C Serisi,80000,Dizel,Otomatik,1300000,sentetik,ai_uretilen
6313b181,manuel_ekleme,2019,Mercedes,C Serisi,55000,Dizel,Otomatik,1550000,sentetik,ai_uretilen
de1f49c0,manuel_ekleme,2015,Ford,Focus,120000,Benzin,Manuel,420000,sentetik,ai_uretilen
c76598e3,manuel_ekleme,2016,Ford,Focus,105000,Benzin,Manuel,460000,sentetik,ai_uretilen
187a6d09,manuel_ekleme,2017,Ford,Focus,95000,Benzin,Otomatik,530000,sentetik,ai_uretilen
97dfd88e,manuel_ekleme,2021,Ford,Focus,25000,Benzin,Otomatik,880000,sentetik,ai_uretilen
ac0666fc,manuel_ekleme,2022,Ford,Focus,15000,Benzin,Otomatik,950000,sentetik,ai_uretilen
822e5a75,manuel_ekleme,2016,Ford,Fiesta,110000,Benzin,Manuel,380000,sentetik,ai_uretilen
48ff0b9b,manuel_ekleme,2018,Ford,Fiesta,80000,Benzin,Manuel,450000,sentetik,ai_uretilen
fbcfa483,manuel_ekleme,2020,Ford,Fiesta,45000,Benzin,Manuel,560000,sentetik,ai_uretilen
4d53af20,manuel_ekleme,2022,Ford,Fiesta,18000,Benzin,Otomatik,680000,sentetik,ai_uretilen
5ba1dfef,manuel_ekleme,2015,Toyota,Corolla,130000,Benzin,Otomatik,580000,sentetik,ai_uretilen
7c57282f,manuel_ekleme,2016,Toyota,Corolla,115000,Benzin,Otomatik,640000,sentetik,ai_uretilen
c3a47a6e,manuel_ekleme,2017,Toyota,Corolla,100000,Hibrit,Otomatik,780000,sentetik,ai_uretilen
9530449f,manuel_ekleme,2021,Toyota,Corolla,30000,Hibrit,Otomatik,1100000,sentetik,ai_uretilen
847d6a46,manuel_ekleme,2022,Toyota,Corolla,18000,Hibrit,Otomatik,1200000,sentetik,ai_uretilen
9af31304,manuel_ekleme,2023,Toyota,Corolla,8000,Hibrit,Otomatik,1350000,sentetik,ai_uretilen
3b719461,manuel_ekleme,2016,Toyota,Yaris,105000,Benzin,Manuel,420000,sentetik,ai_uretilen
7fa70890,manuel_ekleme,2018,Toyota,Yaris,78000,Benzin,Manuel,500000,sentetik,ai_uretilen
450b5efc,manuel_ekleme,2020,Toyota,Yaris,42000,Benzin,Otomatik,630000,sentetik,ai_uretilen
ffd49953,manuel_ekleme,2022,Toyota,Yaris,15000,Benzin,Otomatik,750000,sentetik,ai_uretilen
6cf4593f,manuel_ekleme,2015,Volkswagen,Polo,125000,Benzin,Manuel,410000,sentetik,ai_uretilen
65c4b29b,manuel_ekleme,2016,Volkswagen,Polo,110000,Benzin,Manuel,450000,sentetik,ai_uretilen
6183f0c7,manuel_ekleme,2017,Volkswagen,Polo,95000,Dizel,Manuel,490000,sentetik,ai_uretilen
3d82ee69,manuel_ekleme,2021,Volkswagen,Polo,28000,Benzin,Otomatik,800000,sentetik,ai_uretilen
eda9319e,manuel_ekleme,2022,Volkswagen,Polo,14000,Benzin,Otomatik,880000,sentetik,ai_uretilen
94173ae7,manuel_ekleme,2016,Volkswagen,Golf,108000,Dizel,Manuel,550000,sentetik,ai_uretilen
52db59dc,manuel_ekleme,2018,Volkswagen,Golf,82000,Dizel,Otomatik,720000,sentetik,ai_uretilen
af56de11,manuel_ekleme,2020,Volkswagen,Golf,48000,Benzin,Otomatik,890000,sentetik,ai_uretilen
d085bbcc,manuel_ekleme,2022,Volkswagen,Golf,16000,Benzin,Otomatik,1050000,sentetik,ai_uretilen
3ca1f807,manuel_ekleme,2015,Renault,Clio,130000,Benzin,Manuel,350000,sentetik,ai_uretilen
1f77102f,manuel_ekleme,2016,Renault,Clio,115000,Benzin,Manuel,390000,sentetik,ai_uretilen
88b2e56e,manuel_ekleme,2017,Renault,Clio,98000,Benzin,Manuel,430000,sentetik,ai_uretilen
d1be1346,manuel_ekleme,2021,Renault,Clio,32000,Benzin,Otomatik,680000,sentetik,ai_uretilen
d4f5295f,manuel_ekleme,2022,Renault,Clio,18000,Benzin,Otomatik,750000,sentetik,ai_uretilen
7f359541,manuel_ekleme,2016,Renault,Megane,112000,Dizel,Manuel,460000,sentetik,ai_uretilen
dd0c3d9d,manuel_ekleme,2018,Renault,Megane,85000,Dizel,Otomatik,580000,sentetik,ai_uretilen
a2e74ad0,manuel_ekleme,2020,Renault,Megane,50000,Benzin,Otomatik,720000,sentetik,ai_uretilen
d5d3db82,manuel_ekleme,2022,Renault,Megane,20000,Benzin,Otomatik,880000,sentetik,ai_uretilen
23e12412,manuel_ekleme,2015,Hyundai,i20,125000,Benzin,Manuel,380000,sentetik,ai_uretilen
f08718bd,manuel_ekleme,2016,Hyundai,i20,110000,Benzin,Manuel,420000,sentetik,ai_uretilen
8b51fb3e,manuel_ekleme,2017,Hyundai,i20,95000,Benzin,Manuel,460000,sentetik,ai_uretilen
26573f6e,manuel_ekleme,2021,Hyundai,i20,30000,Benzin,Otomatik,700000,sentetik,ai_uretilen
0da1397c,manuel_ekleme,2022,Hyundai,i20,16000,Benzin,Otomatik,780000,sentetik,ai_uretilen
4ee7f5b4,manuel_ekleme,2017,Hyundai,Tucson,92000,Dizel,Otomatik,820000,sentetik,ai_uretilen
d2a700d5,manuel_ekleme,2019,Hyundai,Tucson,65000,Dizel,Otomatik,980000,sentetik,ai_uretilen
8882cd16,manuel_ekleme,2021,Hyundai,Tucson,35000,Benzin,Otomatik,1200000,sentetik,ai_uretilen
1e3d27be,manuel_ekleme,2023,Hyundai,Tucson,9000,Benzin,Otomatik,1450000,sentetik,ai_uretilen
24508672,manuel_ekleme,2015,BMW,3 Serisi,110000,Dizel,Otomatik,980000,sentetik,ai_uretilen
894d5a94,manuel_ekleme,2016,BMW,3 Serisi,95000,Dizel,Otomatik,1100000,sentetik,ai_uretilen
31dff4c2,manuel_ekleme,2017,BMW,3 Serisi,85000,Benzin,Otomatik,1250000,sentetik,ai_uretilen
